NAME,SUBSCRIPTION,LOCATION
"ai-vitainsight","VITAINSIGHT-SUB4","East US"
"azureapp-auto-alerts-bd1bfd-mostafaahmed_lavitaconnect_com","VITAINSIGHT-SUB","East US"
"azureapp-auto-alerts-ccb69b-mostafaahmed_lavitaconnect_com","VITAINSIGHT-SUB4","East US"
"azureapp-auto-alerts-ccb69b-mostafaahmed_lavitaconnect_com","VITAINSIGHT-SUB","East US"
"azureapp-auto-alerts-ccb69b-mostafaammer_lavitaconnect_com","VITAINSIGHT-SUB2","East US"
"azureapp-auto-alerts-ccb69b-mostafaammer_lavitaconnect_com","VITAINSIGHT-SUB4","East US"
"azureapp-auto-alerts-ccb69b-owner_lavitaconnect_com","VITAINSIGHT-SUB4","East US"
"azureapp-auto-alerts-ccb69b-vita_lavitaconnect_com","VITAINSIGHT-SUB4","East US"
"dashboards","VITAINSIGHT-SUB4","West Europe"
"dashboards","VITAINSIGHT-SUB","East US"
"datebase","VITAINSIGHT-SUB","Canada Central"
"DefaultResourceGroup-CCAN","VITAINSIGHT-SUB","Canada Central"
"DefaultResourceGroup-uaenorth","VITAINSIGHT-SUB","UAE North"
"Developer","VITAINSIGHT-SUB","West Europe"
"LAVITA-RG","VITAINSIGHT-SUB","West Europe"
"lavitaconnect-rg","VITAINSIGHT-SUB","West Europe"
"lavitaconnect.com","VITAINSIGHT-SUB","East US"
"Lavitaconnect_group","VITAINSIGHT-SUB","Canada Central"
"LavitaConnectRG","VITAINSIGHT-SUB","UAE North"
"NetworkWatcherRG","VITAINSIGHT-SUB","Canada Central"
"rg-lavitaconnect-core","VITAINSIGHT-SUB4","West Europe"
"vitainsight","VITAINSIGHT-SUB2","East US"
"vitainsight-vm","VITAINSIGHT-SUB","Canada Central"
"VITAVIBE.COM","VITAINSIGHT-SUB","East US"